career,women_salary,men_salary,gender_gap
administración_de_empresas,19561.0,25207.0,5646.0
medicina_general,23479.0,28457.0,4978.0
ingeniería_industrial,19942.0,24854.0,4912.0
electrónica_automatización_y_aplicaciones_de_la_mecánica-eléctrica,21431.0,26108.0,4677.0
economía,26877.0,31332.0,4455.0
arquitectura_y_urbanismo,22322.0,25730.0,3408.0
ciencias_computacionales,23723.0,26821.0,3098.0
derecho,20846.0,23349.0,2503.0
comunicación_y_periodismo,19508.0,21967.0,2459.0
construcción_e_ingeniería_civil,24108.0,25518.0,1410.0
psicología,18040.0,19192.0,1152.0
mecánica_y_profesiones_afines_al_trabajo_metálico,29237.0,23165.0,-6072.0
