career,count,mean,median,min,max
medicina_general,2,465793.5,465793.5,465793.5,465793.5
electrónica_automatización_y_aplicaciones_de_la_mecánica-eléctrica,2,275843.0,275843.0,275843.0,275843.0
ingeniería_industrial,2,221710.0,221710.0,221710.0,221710.0
comunicación_y_periodismo,2,216115.5,216115.5,216115.5,216115.5
psicología,2,165400.0,165400.0,165400.0,165400.0
construcción_e_ingeniería_civil,2,147829.0,147829.0,147829.0,147829.0
administración_de_empresas,2,139456.0,139456.0,139456.0,139456.0
derecho,2,130366.5,130366.5,130366.5,130366.5
arquitectura_y_urbanismo,4,119020.0,119020.0,119020.0,119020.0
economía,2,71220.0,71220.0,71220.0,71220.0
ciencias_computacionales,2,66597.0,66597.0,66597.0,66597.0
mecánica_y_profesiones_afines_al_trabajo_metálico,2,51344.0,51344.0,51344.0,51344.0
biología,0,,,,
diseño_y_comunicación_gráfica_y_editorial,0,,,,
historia_y_arqueología,0,,,,
ingeniería_de_procesos_químicos,0,,,,
