,id,name,university,emp_rate,career,total_students,new_graduates_number,public_cost,private_cost,public_quality_rating,private_quality_rating,occupation_rate,unemployment_rate,informality_rate,quality_employment_probability,average_salary,career_rank,women_salary,men_salary,under_30_salary,over_30_salary,formal_salary,informal_salary,postgrad_percentage,postgrad_salary,salary_increase
0,0,Ingeniería Civil,1,81.7,construcción_e_ingeniería_civil,337.269,10.559,$47.375,$248.283,Insegura,Buena,96.2%,3.8%,26.9%,73.9%,$25.341,7°,$24.108,$25.518,$21.204,$26.826,$27.119,$18.928,3.9%,$41.396,"191,62%"
1,0,Ingeniería Civil,2,82.8,construcción_e_ingeniería_civil,337.269,10.559,$47.375,$248.283,Insegura,Buena,96.2%,3.8%,26.9%,73.9%,$25.341,7°,$24.108,$25.518,$21.204,$26.826,$27.119,$18.928,3.9%,$41.396,"191,62%"
2,1,Ingeniería en Computación,1,83,ciencias_computacionales,109.896,990,$42.437,$90.757,Buena,Excelente,96.0%,4.0%,25.9%,74.0%,$25.676,5°,$23.723,$26.821,$17.118,$28.654,$27.745,$17.327,6.9%,$43.574,"206,11%"
3,1,Ingeniería en Tecnologías Computacionales,2,85.3,ciencias_computacionales,109.896,990,$42.437,$90.757,Buena,Excelente,96.0%,4.0%,25.9%,74.0%,$25.676,5°,$23.723,$26.821,$17.118,$28.654,$27.745,$17.327,6.9%,$43.574,"206,11%"
4,2,Ingeniería Industrial,1,80,ingeniería_industrial,601.331,40.232,$49.736,$393.684,Excelente,Buena,96.5%,3.5%,16.4%,81.9%,$23.572,15°,$19.942,$24.854,$20.188,$25.369,$25.109,$14.568,3.2%,$43.391,"214,62%"
5,2,Ingeniería Industrial y de Sistemas,2,81,ingeniería_industrial,601.331,40.232,$49.736,$393.684,Excelente,Buena,96.5%,3.5%,16.4%,81.9%,$23.572,15°,$19.942,$24.854,$20.188,$25.369,$25.109,$14.568,3.2%,$43.391,"214,62%"
6,3,Ingeniería Eléctrica,1,74.5,electrónica_automatización_y_aplicaciones_de_la_mecánica-eléctrica,408.206,24.702,$54.886,$496.800,Excelente,Buena,96.3%,3.7%,15.6%,82.0%,$25.762,4°,$21.431,$26.108,$21.596,$28.051,$27.429,$15.484,1.9%,$41.086,"185,06%"
7,3,Ingeniería en Electrónica y Semiconductores,2,77.8,electrónica_automatización_y_aplicaciones_de_la_mecánica-eléctrica,408.206,24.702,$54.886,$496.800,Excelente,Buena,96.3%,3.7%,15.6%,82.0%,$25.762,4°,$21.431,$26.108,$21.596,$28.051,$27.429,$15.484,1.9%,$41.086,"185,06%"
8,4,Ingeniería Mecánica,1,80,mecánica_y_profesiones_afines_al_trabajo_metálico,205.424,11.478,$51.344,$1.2M,Excelente,Insegura,97.4%,2.6%,18.6%,81.1%,$24.152,11°,$29.237,$23.165,$22.696,$24.811,$25.981,$14.836,1.2%,$42.794,"206,03%"
9,4,Ingeniería Mecánica,2,81,mecánica_y_profesiones_afines_al_trabajo_metálico,205.424,11.478,$51.344,$1.2M,Excelente,Insegura,97.4%,2.6%,18.6%,81.1%,$24.152,11°,$29.237,$23.165,$22.696,$24.811,$25.981,$14.836,1.2%,$42.794,"206,03%"
10,5,Médico Cirujano,1,78.6,medicina_general,292.141,18.871,$70.605,$860.982,Excelente,Insegura,97.9%,2.1%,20.7%,81.4%,$26.163,3°,$23.479,$28.457,$21.990,$27.437,$27.888,$17.390,-,$-,-%
11,5,Médico Cirujano,2,73.2,medicina_general,292.141,18.871,$70.605,$860.982,Excelente,Insegura,97.9%,2.1%,20.7%,81.4%,$26.163,3°,$23.479,$28.457,$21.990,$27.437,$27.888,$17.390,-,$-,-%
12,6,Psicología,1,88.1,psicología,595.676,31.993,$60.886,$269.914,Muy Insegura,Insegura,95.7%,4.3%,30.2%,73.0%,$18.332,31°,$18.040,$19.192,$16.807,$18.994,$20.112,$12.355,9.6%,$28.302,"184,26%"
13,6,Licenciatura en Psicología Clínica y de la Salud,2,89.9,psicología,595.676,31.993,$60.886,$269.914,Muy Insegura,Insegura,95.7%,4.3%,30.2%,73.0%,$18.332,31°,$18.040,$19.192,$16.807,$18.994,$20.112,$12.355,9.6%,$28.302,"184,26%"
14,7,Biología,1,83.6,biología,110.499,4180,-,-,-,-,95.7%,4.3%,24.1%,76.5%,$-,-°,$-,$-,$-,$-,$-,$-,14.3%,$-,-%
15,7,Licenciatura en Biociencias,2,76.5,biología,110.499,4180,-,-,-,-,95.7%,4.3%,24.1%,76.5%,$-,-°,$-,$-,$-,$-,$-,$-,14.3%,$-,-%
16,8,Ingeniería Química,1,80.5,ingeniería_de_procesos_químicos,194.965,9542,-,-,-,-,96.1%,3.9%,16.3%,84.0%,$-,-°,$-,$-,$-,$-,$-,$-,3.8%,$-,-%
17,8,Ingeniería Química,2,75,ingeniería_de_procesos_químicos,194.965,9542,-,-,-,-,96.1%,3.9%,16.3%,84.0%,$-,-°,$-,$-,$-,$-,$-,$-,3.8%,$-,-%
18,9,Derecho,1,84.2,derecho,1.3M,70.987,$52.710,$208.023,Insegura,Insegura,96.5%,3.5%,28.0%,72.9%,$22.299,19°,$20.846,$23.349,$17.164,$23.697,$24.653,$15.686,8.8%,$40.639,"222,62%"
19,9,Licenciatura en Derecho,2,84.8,derecho,1.3M,70.987,$52.710,$208.023,Insegura,Insegura,96.5%,3.5%,28.0%,72.9%,$22.299,19°,$20.846,$23.349,$17.164,$23.697,$24.653,$15.686,8.8%,$40.639,"222,62%"
20,10,Administración,1,82.1,administración_de_empresas,1.3M,47.537,$50.156,$228.756,Buena,Buena,96.8%,3.3%,21.9%,79.1%,$22.396,18°,$19.561,$25.207,$16.723,$24.358,$23.740,$16.242,8.5%,$43.317,"236,71%"
21,10,Licenciatura en Estrategia y Transformación de Negocios,2,85.1,administración_de_empresas,1.3M,47.537,$50.156,$228.756,Buena,Buena,96.8%,3.3%,21.9%,79.1%,$22.396,18°,$19.561,$25.207,$16.723,$24.358,$23.740,$16.242,8.5%,$43.317,"236,71%"
22,11,Economía,1,80.6,economía,144.332,4147,$44.483,$97.957,Excelente,Excelente,95.1%,4.9%,22.0%,78.6%,$29.754,2°,$26.877,$31.332,$28.167,$30.065,$32.136,$15.995,12.9%,$56.013,"237,78%"
