career,total_students
ingeniería_industrial,601331.0
psicología,595676.0
electrónica_automatización_y_aplicaciones_de_la_mecánica-eléctrica,408206.0
arquitectura_y_urbanismo,361035.0
construcción_e_ingeniería_civil,337269.0
medicina_general,292141.0
comunicación_y_periodismo,251824.0
mecánica_y_profesiones_afines_al_trabajo_metálico,205424.0
diseño_y_comunicación_gráfica_y_editorial,199645.0
ingeniería_de_procesos_químicos,194965.0
economía,144332.0
biología,110499.0
ciencias_computacionales,109896.0
historia_y_arqueología,42289.0
administración_de_empresas,
derecho,
