career,quality_employment_probability
ingeniería_de_procesos_químicos,84.0
electrónica_automatización_y_aplicaciones_de_la_mecánica-eléctrica,82.0
ingeniería_industrial,81.9
historia_y_arqueología,81.4
medicina_general,81.4
mecánica_y_profesiones_afines_al_trabajo_metálico,81.1
administración_de_empresas,79.1
economía,78.6
biología,76.5
ciencias_computacionales,74.0
construcción_e_ingeniería_civil,73.9
comunicación_y_periodismo,73.3
psicología,73.0
derecho,72.9
arquitectura_y_urbanismo,70.9
diseño_y_comunicación_gráfica_y_editorial,64.8
