career,count,mean,median,min,max
economía,2,29754.0,29754.0,29754.0,29754.0
medicina_general,2,26163.0,26163.0,26163.0,26163.0
electrónica_automatización_y_aplicaciones_de_la_mecánica-eléctrica,2,25762.0,25762.0,25762.0,25762.0
ciencias_computacionales,2,25676.0,25676.0,25676.0,25676.0
construcción_e_ingeniería_civil,2,25341.0,25341.0,25341.0,25341.0
arquitectura_y_urbanismo,4,24834.0,24834.0,24834.0,24834.0
mecánica_y_profesiones_afines_al_trabajo_metálico,2,24152.0,24152.0,24152.0,24152.0
ingeniería_industrial,2,23572.0,23572.0,23572.0,23572.0
administración_de_empresas,2,22396.0,22396.0,22396.0,22396.0
derecho,2,22299.0,22299.0,22299.0,22299.0
comunicación_y_periodismo,2,20596.0,20596.0,20596.0,20596.0
psicología,2,18332.0,18332.0,18332.0,18332.0
biología,0,,,,
diseño_y_comunicación_gráfica_y_editorial,0,,,,
historia_y_arqueología,0,,,,
ingeniería_de_procesos_químicos,0,,,,
