career,unemployment_rate
diseño_y_comunicación_gráfica_y_editorial,5.2
economía,4.9
arquitectura_y_urbanismo,4.7
biología,4.3
psicología,4.3
comunicación_y_periodismo,4.1
ciencias_computacionales,4.0
ingeniería_de_procesos_químicos,3.9
construcción_e_ingeniería_civil,3.8
electrónica_automatización_y_aplicaciones_de_la_mecánica-eléctrica,3.7
derecho,3.5
ingeniería_industrial,3.5
administración_de_empresas,3.3
mecánica_y_profesiones_afines_al_trabajo_metálico,2.6
medicina_general,2.1
historia_y_arqueología,2.0
