career,emp_rate
psicología,89.0
arquitectura_y_urbanismo,88.5
diseño_y_comunicación_gráfica_y_editorial,85.15
historia_y_arqueología,84.75
derecho,84.5
ciencias_computacionales,84.15
administración_de_empresas,83.6
comunicación_y_periodismo,82.9
construcción_e_ingeniería_civil,82.25
economía,81.35
ingeniería_industrial,80.5
mecánica_y_profesiones_afines_al_trabajo_metálico,80.5
biología,80.05
ingeniería_de_procesos_químicos,77.75
electrónica_automatización_y_aplicaciones_de_la_mecánica-eléctrica,76.15
medicina_general,75.9
