career,informality_rate
diseño_y_comunicación_gráfica_y_editorial,33.9
psicología,30.2
arquitectura_y_urbanismo,28.5
derecho,28.0
comunicación_y_periodismo,27.6
construcción_e_ingeniería_civil,26.9
ciencias_computacionales,25.9
biología,24.1
economía,22.0
administración_de_empresas,21.9
medicina_general,20.7
historia_y_arqueología,18.7
mecánica_y_profesiones_afines_al_trabajo_metálico,18.6
ingeniería_industrial,16.4
ingeniería_de_procesos_químicos,16.3
electrónica_automatización_y_aplicaciones_de_la_mecánica-eléctrica,15.6
